Date,Region,Product,Quantity, UnitPrice ,StoreLocation,CustomerType,Discount,Salesperson, TotalPrice ,PaymentMethod,Promotion,Returned,OrderID,CustomerName, ShippingCost ,OrderDate,DeliveryDate,RegionManager,MonthName, GrossRevenue , TotalDiscount 
23/02/2023,East,Laptop,14, $163.60 ,Store B,Wholesale,0,Eva," $2,290.40 ",Online,FREESHIP,0,REG100000,Cust 6583, $43.34 ,23/02/2023,27/02/2023,Eric,Feb," $2,247.06 ", $-   
19/12/2024,South,Phone,1, $544.01 ,Store A,Retail,0,Alice, $544.01 ,Gift Card,SAVE10,0,REG100001,Cust 2144, $5.30 ,19/12/2024,28/12/2024,Sophie,Dec, $538.71 , $-   
10/05/2023,North,Desk,14, $346.18 ,Store B,Wholesale,0.1,Alice," $4,361.87 ",Online,WINTER15,0,REG100002,Cust 5998, $20.46 ,10/05/2023,19/05/2023,Ryan,May," $4,341.41 ", $484.65 
26/02/2025,Central,Chair,18, $384.82 ,Store A,Wholesale,0.15,Frank," $5,887.75 ",Gift Card,FREESHIP,0,REG100003,Cust 7136, $27.95 ,26/02/2025,02/03/2025,Cameron,Feb," $5,859.80 "," $1,039.01 "
24/06/2023,East,Desk,18, $237.76 ,Store C,Retail,0,Carlos," $4,279.68 ",Online,SAVE10,0,REG100004,Cust 6506, $5.73 ,24/06/2023,27/06/2023,Eric,Jun," $4,273.95 ", $-   
20/02/2024,Central,Monitor,2, $385.09 ,Store D,Wholesale,0.15,Diana, $654.65 ,Credit Card,,0,REG100005,Cust 3909, $11.92 ,20/02/2024,01/03/2024,Cameron,Feb, $642.73 , $115.53 
11/01/2023,South,Chair,7, $17.50 ,Store C,Retail,0.1,Alice, $110.25 ,Debit Card,WINTER15,0,REG100006,Cust 7887, $5.02 ,11/01/2023,14/01/2023,Sophie,Jan, $105.23 , $12.25 
09/01/2023,Central,Chair,3, $330.22 ,Store C,Wholesale,0.15,Carlos, $842.06 ,Cash,,0,REG100007,Cust 5301, $48.01 ,09/01/2023,11/01/2023,Cameron,Jan, $794.05 , $148.60 
16/10/2024,South,Chair,3, $432.04 ,Store D,Wholesale,0.05,Bob," $1,231.31 ",Debit Card,FREESHIP,1,REG100008,Cust 2284, $42.11 ,16/10/2024,18/10/2024,Sophie,Oct," $1,189.20 ", $64.81 
05/03/2025,West,Desk,5, $323.28 ,Store D,Retail,0.1,Frank," $1,454.76 ",Gift Card,SAVE10,0,REG100009,Cust 3732, $41.10 ,05/03/2025,13/03/2025,Wendy,Mar," $1,413.66 ", $161.64 
10/04/2024,North,Desk,15, $523.29 ,Store B,Wholesale,0.15,Eva," $6,671.95 ",Debit Card,,0,REG100010,Cust 1462, $12.14 ,10/04/2024,17/04/2024,Ryan,Apr," $6,659.81 "," $1,177.40 "
12/07/2024,East,Phone,19, $207.35 ,Store D,Retail,0.1,Eva," $3,545.69 ",Gift Card,,1,REG100011,Cust 4330, $44.89 ,12/07/2024,18/07/2024,Eric,Jul," $3,500.80 ", $393.97 
21/07/2023,Central,Phone,1, $120.53 ,Store B,Retail,0.05,Diana, $114.50 ,Cash,WINTER15,0,REG100012,Cust 2372, $20.35 ,21/07/2023,31/07/2023,Cameron,Jul, $94.15 , $6.03 
18/01/2025,West,Tablet,1, $157.83 ,Store A,Wholesale,0.15,Carlos, $134.16 ,Debit Card,,0,REG100013,Cust 4672, $42.82 ,18/01/2025,22/01/2025,Wendy,Jan, $91.34 , $23.67 
08/12/2024,North,Desk,15, $220.30 ,Store B,Retail,0.15,Diana," $2,808.83 ",Debit Card,,0,REG100014,Cust 4548, $39.66 ,08/12/2024,15/12/2024,Ryan,Dec," $2,769.17 ", $495.68 
11/05/2025,West,Chair,17, $162.96 ,Store A,Wholesale,0.05,Eva," $2,631.80 ",Gift Card,FREESHIP,0,REG100015,Cust 7037, $8.11 ,11/05/2025,17/05/2025,Wendy,May," $2,623.69 ", $138.52 
26/02/2023,West,Laptop,19, $236.11 ,Store D,Wholesale,0,Bob," $4,486.09 ",Online,WINTER15,0,REG100016,Cust 4975, $34.11 ,26/02/2023,04/03/2023,Wendy,Feb," $4,451.98 ", $-   
28/05/2024,Central,Desk,11, $573.14 ,Store D,Retail,0.05,Diana," $5,989.31 ",Cash,SAVE10,0,REG100017,Cust 8014, $34.71 ,28/05/2024,01/06/2024,Cameron,May," $5,954.60 ", $315.23 
30/11/2023,East,Phone,20, $519.04 ,Store B,Retail,0.15,Carlos," $8,823.68 ",Gift Card,FREESHIP,0,REG100018,Cust 1228, $19.43 ,30/11/2023,08/12/2023,Eric,Nov," $8,804.25 "," $1,557.12 "
22/06/2023,West,Desk,14, $30.83 ,Store B,Retail,0,Carlos, $431.62 ,Online,WINTER15,1,REG100019,Cust 4247, $7.10 ,22/06/2023,02/07/2023,Wendy,Jun, $424.52 , $-   
05/06/2025,West,Phone,10, $319.05 ,Store D,Wholesale,0,Diana," $3,190.50 ",Online,,0,REG100020,Cust 4199, $28.43 ,05/06/2025,08/06/2025,Wendy,Jun," $3,162.07 ", $-   
